Province/State,Country/Region,Day,Time,Confirmed,Suspected,Recovered,Deaths,Demised
Shandong,Mainland China,2020-01-29,21:00:00,145.0,,1.0,,
Sichuan,Mainland China,2020-01-29,21:00:00,142.0,,1.0,1.0,
Jiangsu,Mainland China,2020-01-29,21:00:00,129.0,,1.0,,
Beijing,Mainland China,2020-01-29,21:00:00,111.0,,4.0,1.0,
Queensland,Australia,2020-01-29,21:00:00,1.0,,,,
Shanghai,Mainland China,2020-01-29,21:00:00,101.0,,5.0,1.0,
Guangxi,Mainland China,2020-01-29,21:00:00,78.0,,2.0,,
Hebei,Mainland China,2020-01-29,21:00:00,65.0,,,1.0,
Shaanxi,Mainland China,2020-01-29,21:00:00,56.0,,,,
Yunnan,Mainland China,2020-01-29,21:00:00,55.0,,,,
Hainan,Mainland China,2020-01-29,21:00:00,43.0,,,1.0,
Heilongjiang,Mainland China,2020-01-29,21:00:00,43.0,,,1.0,
Liaoning,Mainland China,2020-01-29,21:00:00,39.0,,1.0,,
Shanxi,Mainland China,2020-01-29,21:00:00,35.0,,1.0,,
Tianjin,Mainland China,2020-01-29,21:00:00,27.0,,,,
Gansu,Mainland China,2020-01-29,21:00:00,26.0,,,,
Inner Mongolia,Mainland China,2020-01-29,21:00:00,16.0,,,,
Fujian,Mainland China,2020-01-29,21:00:00,101.0,,,,
Bavaria,Germany,2020-01-29,21:00:00,4.0,,,,
Ontario,Canada,2020-01-30,21:30:00,2.0,,,,
,India,2020-01-30,21:30:00,1.0,,,,
Inner Mongolia,Mainland China,2020-01-30,21:30:00,20.0,,,,
Ningxia,Mainland China,2020-01-30,21:30:00,21.0,,1.0,,
Gansu,Mainland China,2020-01-30,21:30:00,29.0,,,,
Tianjin,Mainland China,2020-01-30,21:30:00,32.0,,,,
Shanxi,Mainland China,2020-01-30,21:30:00,39.0,,1.0,,
Liaoning,Mainland China,2020-01-30,21:30:00,45.0,,1.0,,
Hainan,Mainland China,2020-01-30,21:30:00,50.0,,1.0,1.0,
Heilongjiang,Mainland China,2020-01-30,21:30:00,59.0,,,2.0,
Shaanxi,Mainland China,2020-01-30,21:30:00,87.0,,,,
Yunnan,Mainland China,2020-01-30,21:30:00,76.0,,,,
Hebei,Mainland China,2020-01-30,21:30:00,82.0,,,1.0,
Fujian,Mainland China,2020-01-30,21:30:00,101.0,,,,
Xinjiang,Mainland China,2020-01-30,21:30:00,17.0,,,,
Beijing,Mainland China,2020-01-30,21:30:00,121.0,,5.0,1.0,
Jiangsu,Mainland China,2020-01-30,21:30:00,168.0,,2.0,,
Sichuan,Mainland China,2020-01-30,21:30:00,177.0,,1.0,1.0,
Shandong,Mainland China,2020-01-30,21:30:00,178.0,,2.0,,
Chongqing,Mainland China,2020-01-30,21:30:00,206.0,,1.0,,
Anhui,Mainland China,2020-01-30,21:30:00,237.0,,3.0,,
Jiangxi,Mainland China,2020-01-30,21:30:00,240.0,,7.0,,
Hunan,Mainland China,2020-01-30,21:30:00,332.0,,2.0,,
Henan,Mainland China,2020-01-30,21:30:00,352.0,,3.0,2.0,
Guangdong,Mainland China,2020-01-30,21:30:00,393.0,,11.0,,
Zhejiang,Mainland China,2020-01-30,21:30:00,537.0,,9.0,,
Hubei,Mainland China,2020-01-30,21:30:00,5806.0,,116.0,204.0,
,Italy,2020-01-30,21:30:00,2.0,,,,
Shanghai,Mainland China,2020-01-30,21:30:00,128.0,,9.0,1.0,
Guizhou,Mainland China,2020-01-30,21:30:00,15.0,,1.0,,
Guangxi,Mainland China,2020-01-30,21:30:00,87.0,,2.0,,
Hong Kong,Hong Kong,2020-01-30,21:30:00,12.0,,,,
,Philippines,2020-01-30,21:30:00,1.0,,,,
Jilin,Mainland China,2020-01-30,21:30:00,14.0,,1.0,,
,United Arab Emirates,2020-01-30,21:30:00,4.0,,,,
,Finland,2020-01-30,21:30:00,1.0,,,,
Bavaria,Germany,2020-01-30,21:30:00,4.0,,,,
Queensland,Australia,2020-01-30,21:30:00,3.0,,,,
Victoria,Australia,2020-01-30,21:30:00,2.0,,,,
New South Wales,Australia,2020-01-30,21:30:00,4.0,,2.0,,
,Sri Lanka,2020-01-30,21:30:00,1.0,,,,
British Columbia,Canada,2020-01-30,21:30:00,1.0,,,,
,Malaysia,2020-01-30,21:30:00,8.0,,,,
,Nepal,2020-01-30,21:30:00,1.0,,,,
,France,2020-01-30,21:30:00,5.0,,,,
,Cambodia,2020-01-30,21:30:00,1.0,,,,
,Singapore,2020-01-30,21:30:00,10.0,,,,
Taiwan,Taiwan,2020-01-30,21:30:00,9.0,,,,
,Vietnam,2020-01-30,21:30:00,2.0,,,,
Macau,Macau,2020-01-30,21:30:00,7.0,,,,
Tibet,Mainland China,2020-01-30,21:30:00,1.0,,,,
Washington,US,2020-01-30,21:30:00,1.0,,,,
Illinois,US,2020-01-30,21:30:00,2.0,,,,
Qinghai,Mainland China,2020-01-30,21:30:00,8.0,,,,
Arizona,US,2020-01-30,21:30:00,1.0,,,,
,Japan,2020-01-30,21:30:00,11.0,,1.0,,
,Thailand,2020-01-30,21:30:00,14.0,,5.0,,
,South Korea,2020-01-30,21:30:00,6.0,,,,
California,US,2020-01-30,21:30:00,2.0,,,,
Hubei,Mainland China,2020-01-31,19:00:00,7153.0,,169.0,249.0,
Illinois,US,2020-01-31,19:00:00,2.0,,,,
California,US,2020-01-31,19:00:00,3.0,,,,
Arizona,US,2020-01-31,19:00:00,1.0,,,,
,Japan,2020-01-31,19:00:00,17.0,,1.0,,
,Thailand,2020-01-31,19:00:00,19.0,,7.0,,
,South Korea,2020-01-31,19:00:00,11.0,,,,
,Singapore,2020-01-31,19:00:00,16.0,,,,
,Vietnam,2020-01-31,19:00:00,2.0,,,,
,France,2020-01-31,19:00:00,6.0,,,,
,Nepal,2020-01-31,19:00:00,1.0,,,,
,Malaysia,2020-01-31,19:00:00,8.0,,,,
Ontario,Canada,2020-01-31,19:00:00,2.0,,,,
British Columbia,Canada,2020-01-31,19:00:00,1.0,,,,
,Cambodia,2020-01-31,19:00:00,1.0,,,,
,Sri Lanka,2020-01-31,19:00:00,1.0,,,,
New South Wales,Australia,2020-01-31,19:00:00,4.0,,2.0,,
Victoria,Australia,2020-01-31,19:00:00,2.0,,,,
Queensland,Australia,2020-01-31,19:00:00,3.0,,,,
Bavaria,Germany,2020-01-31,19:00:00,7.0,,,,
,Finland,2020-01-31,19:00:00,1.0,,,,
,United Arab Emirates,2020-01-31,19:00:00,4.0,,,,
,Philippines,2020-01-31,19:00:00,1.0,,,,
,India,2020-01-31,19:00:00,1.0,,,,
,Italy,2020-01-31,19:00:00,2.0,,,,
,Sweden,2020-01-31,19:00:00,1.0,,,,
,Russia,2020-01-31,19:00:00,2.0,,,,
,Spain,2020-01-31,19:00:00,1.0,,,,
,UK,2020-01-31,19:00:00,2.0,,,,
Washington,US,2020-01-31,19:00:00,1.0,,,,
Tibet,Mainland China,2020-01-31,19:00:00,1.0,,,,
Macau,Macau,2020-01-31,19:00:00,7.0,,,,
Qinghai,Mainland China,2020-01-31,19:00:00,8.0,,,,
Guangdong,Mainland China,2020-01-31,19:00:00,436.0,,10.0,,
Henan,Mainland China,2020-01-31,19:00:00,352.0,,3.0,2.0,
Hunan,Mainland China,2020-01-31,19:00:00,332.0,,3.0,,
Jiangxi,Mainland China,2020-01-31,19:00:00,240.0,,7.0,,
Chongqing,Mainland China,2020-01-31,19:00:00,238.0,,1.0,1.0,
Anhui,Mainland China,2020-01-31,19:00:00,237.0,,3.0,,
Shandong,Mainland China,2020-01-31,19:00:00,184.0,,2.0,,
Sichuan,Mainland China,2020-01-31,19:00:00,177.0,,1.0,1.0,
Jiangsu,Mainland China,2020-01-31,19:00:00,168.0,,5.0,,
Shanghai,Mainland China,2020-01-31,19:00:00,153.0,,9.0,1.0,
Beijing,Mainland China,2020-01-31,19:00:00,139.0,,5.0,1.0,
Fujian,Mainland China,2020-01-31,19:00:00,120.0,,,,
Hebei,Mainland China,2020-01-31,19:00:00,96.0,,,1.0,
Zhejiang,Mainland China,2020-01-31,19:00:00,537.0,,14.0,,
Guangxi,Mainland China,2020-01-31,19:00:00,88.0,,2.0,,
Yunnan,Mainland China,2020-01-31,19:00:00,83.0,,1.0,,
Liaoning,Mainland China,2020-01-31,19:00:00,60.0,,1.0,,
